time (msec),x axis,y axis,z axis
10610,3292,-14428,1932
10620,2432,-15388,1984
10630,2552,-15460,2032
10640,2576,-15812,2276
10650,3188,-15112,2072
10660,2736,-16024,2296
10670,2948,-15360,2208
10680,3096,-16044,2416
10690,3056,-16052,2316
10700,3248,-16040,2548
10710,3236,-15988,2208
10720,3048,-16112,2228
10730,2924,-15668,2228
10740,2640,-15740,2020
10750,2552,-15768,2084
10760,2752,-15808,2000
10770,2844,-16028,1972
10780,2800,-16160,1820
10790,2544,-16116,1836
10800,2312,-16124,1816
10810,2348,-16024,2020
10820,2704,-16164,1884
10830,3028,-16160,1888
10840,3224,-15872,1928
10850,3128,-16020,1804
10860,2924,-16060,1828
10870,2960,-15948,2072
10880,2864,-16008,1964
10890,2968,-15992,1784
10900,2980,-15920,1840
10910,3008,-15880,1868
10920,3068,-15912,1876
10930,3140,-15876,1912
10940,3164,-15776,1764
10950,3236,-15848,1552
10960,3496,-16028,1240
10970,3336,-15924,1496
10980,3460,-15556,1456
10990,3804,-16112,1444
11000,3636,-15544,1224
11010,3480,-16604,1828
11020,3556,-15932,1440
11030,3400,-16200,1440
11040,3432,-15876,1556
11050,3548,-15676,1596
11060,4076,-15588,964
11070,3792,-16408,1096
11080,4028,-16076,1248
11090,3948,-15668,1240
11100,4072,-15656,1032
11110,3860,-16188,1136
11120,3844,-15708,1292
11130,3744,-15488,1332
11140,4144,-15228,984
11150,4016,-16104,1212
11160,4040,-15700,1216
11170,4208,-15836,792
11180,4392,-15848,1004
11190,4332,-15780,752
11200,4728,-15784,644
11210,4836,-15292,804
11220,4964,-15332,64
11230,4932,-15832,720
11240,5124,-15660,-44
11250,5116,-15732,184
11260,4840,-16088,324
11270,4788,-16004,288
11280,4652,-16016,256
11290,4576,-16080,332
11300,4372,-16080,-20
11310,4248,-16552,208
11320,3916,-16608,448
11330,4008,-16000,128
11340,4076,-16304,-64
11350,4080,-16300,-116
11360,3952,-16428,-324
11370,4152,-16000,-312
11380,3752,-16192,-124
11390,3852,-16088,-128
11400,4056,-16072,-140
11410,4296,-15948,-160
11420,3964,-16148,-108
11430,4044,-15848,-804
11440,4296,-15624,-224
11450,4396,-16040,-536
11460,4352,-15952,-976
11470,4308,-16060,-456
11480,4400,-15692,-576
11490,4236,-16144,-728
11500,4088,-16012,-872
11510,4080,-16068,-1316
11520,4100,-16228,-624
11530,4308,-15940,-1180
11540,4324,-15852,-1024
11550,4288,-16368,-800
11560,4284,-16232,-916
11570,4368,-16304,-1092
11580,4148,-16796,-960
11590,4260,-16432,-888
11600,4068,-16476,-796
11610,3948,-16100,-1320
11620,3848,-16092,-1256
11630,4120,-16056,-1336
11640,4220,-16048,-1364
11650,4328,-15988,-1304
11660,4384,-15732,-1552
11670,4388,-16096,-1328
11680,4180,-16224,-1372
11690,4160,-16256,-1280
11700,4512,-15940,-1500
11710,4504,-16064,-1424
11720,4484,-16216,-1208
11730,4656,-16176,-1104
11740,4576,-16044,-1188
11750,4568,-15828,-1240
11760,4536,-15696,-1796
11770,4588,-15836,-1500
11780,4736,-15688,-1612
11790,4908,-15708,-1844
11800,4888,-15604,-1896
11810,4644,-15608,-1944
11820,4588,-15820,-1856
11830,4664,-15756,-2268
11840,4868,-16280,-2352
11850,4900,-16480,-2276
11860,4876,-16548,-2528
11870,4804,-16476,-2220
11880,5132,-16928,-2184
11890,4400,-16872,-2232
11900,5132,-17372,-1900
11910,5060,-17608,-2212
11920,4964,-17532,-2184
11930,5140,-17480,-2192
11940,5156,-17404,-1764
11950,5068,-17576,-1896
11960,4868,-17340,-1972
11970,5016,-16936,-1992
11980,4952,-16904,-2024
11990,4916,-17072,-1564
12000,4924,-16660,-1432
12010,4556,-16804,-1460
12020,4468,-16512,-1428
12030,4760,-16320,-1576
12040,4604,-16632,-860
12050,4720,-16104,-964
12060,4520,-15956,-1232
12070,4460,-15696,-1428
12080,4160,-15952,-1068
12090,4276,-15656,-724
12100,4136,-15924,-1040
12110,4136,-16056,-1048
12120,4152,-16196,-384
12130,4212,-15644,-444
12140,4132,-15752,-588
12150,4384,-16028,-208
12160,4396,-15856,352
12170,4548,-15300,200
12180,4536,-15640,76
12190,4464,-15812,68
12200,4368,-15224,208
12210,4300,-15048,-188
12220,4232,-15548,172
12230,4180,-15208,192
12240,4312,-15644,92
12250,4388,-15432,316
12260,4180,-15736,660
12270,4300,-15392,732
12280,4208,-15420,880
12290,4088,-14844,976
12300,3816,-16260,1432
12310,3888,-15584,1236
12320,3668,-14708,976
12330,3412,-15412,1320
12340,3208,-16156,1616
12350,3332,-15892,1444
12360,3388,-15692,1172
12370,3348,-15656,1116
12380,3236,-15912,1100
12390,2928,-15652,1180
12400,2812,-15460,1184
12410,2924,-15012,1016
12420,2840,-15848,1200
12430,2992,-15192,1156
12440,2928,-15944,1220
12450,2968,-15748,1504
12460,2748,-15632,1468
12470,2908,-15480,1416
12480,2816,-15492,1740
12490,2884,-15580,1656
12500,2968,-15420,1544
12510,3140,-15296,1548
12520,3108,-15144,1584
12530,3140,-15376,1424
12540,3032,-15296,1568
12550,2880,-15380,1620
12560,2728,-15460,1636
12570,2604,-15296,1552
12580,2516,-15300,1564
12590,2564,-15236,1560
12600,2368,-15312,1664
12610,2404,-15416,1688
12620,2160,-15512,1604
12630,2292,-15440,1684
12640,2500,-15528,1264
12650,2692,-15604,1432
12660,2888,-15800,1272
12670,3008,-15980,1216
12680,3092,-16000,1076
12690,3232,-15972,1084
12700,3280,-15832,932
12710,3488,-15964,1036
12720,3740,-16144,996
12730,3532,-16080,856
12740,3612,-16172,680
12750,3180,-16676,1032
12760,3540,-15912,292
12770,3880,-16048,316
12780,3780,-16380,580
12790,3768,-16236,264
12800,3760,-16180,272
12810,3896,-16132,352
12820,3916,-16520,264
12830,3848,-16136,424
12840,3856,-16320,-228
12850,4100,-16396,-60
12860,4296,-16288,208
12870,4184,-16344,-172
12880,4080,-16432,-68
12890,4004,-16208,0
12900,4040,-16492,-24
12910,4120,-16260,-204
12920,4252,-16416,-320
12930,4188,-16616,-316
12940,4064,-16572,-240
12950,3992,-16424,-204
12960,3956,-16160,-292
12970,3896,-16260,-360
12980,4128,-15968,-316
12990,4208,-15976,-464
13000,4216,-16140,-440
13010,4240,-15932,-300
13020,4080,-16208,-260
13030,4140,-15936,-340
13040,4236,-16064,-576
13050,4172,-15860,-292
13060,4332,-16044,-644
13070,4124,-15956,-420
13080,3912,-15872,-332
13090,3732,-15852,-316
13100,3632,-15848,-616
13110,3628,-15448,-248
13120,3832,-15476,-240
13130,3952,-15312,-600
13140,4052,-15504,-772
13150,4028,-15556,-696
13160,3840,-15692,-1016
13170,4004,-15828,-636
13180,3876,-15652,-472
13190,3824,-15748,-956
13200,4232,-15732,-648
13210,4232,-15760,-784
13220,4048,-15968,-840
13230,4600,-15752,-1172
13240,4280,-16376,-1128
13250,4284,-16148,-1312
13260,4464,-15752,-1904
13270,4628,-16332,-1316
13280,4760,-16520,-1404
13290,4788,-16020,-908
13300,4456,-15964,-1552
13310,4560,-16452,-1716
13320,4368,-15972,-1788
13330,4664,-16140,-2000
13340,4656,-16220,-1964
13350,4424,-15892,-2076
