time (msec),x axis,y axis,z axis
2480,3004,-16072,1588
2490,3008,-15904,1680
2500,3076,-16016,1468
2510,3232,-15900,1628
2520,3388,-15956,1660
2530,3236,-15984,1188
2540,3012,-16572,1004
2550,3216,-15600,1012
2560,2940,-16000,1352
2570,2916,-16320,1288
2580,3204,-16176,1088
2590,3132,-15968,1200
2600,3044,-16044,1220
2610,3192,-16316,1172
2620,3240,-16340,1144
2630,3364,-16208,976
2640,3460,-16280,1140
2650,3432,-16076,772
2660,3540,-15980,880
2670,3600,-15936,812
2680,3576,-16212,796
2690,3952,-16208,520
2700,3852,-16360,676
2710,3772,-16432,632
2720,3740,-16232,644
2730,3712,-16084,552
2740,3468,-16076,648
2750,3532,-16244,768
2760,3528,-16072,368
2770,3712,-16400,652
2780,3564,-16148,552
2790,3404,-15820,264
2800,3440,-15828,544
2810,3432,-15844,484
2820,3384,-15832,512
2830,3360,-15584,360
2840,3468,-15820,272
2850,3368,-15500,164
2860,3428,-15628,376
2870,3488,-15728,168
2880,3564,-15996,-180
2890,3568,-16184,68
2900,3528,-15944,76
2910,3684,-16040,108
2920,3768,-15940,116
2930,3856,-15924,0
2940,3880,-16204,24
2950,3888,-15956,-324
2960,3824,-16096,-416
2970,3812,-16272,-120
2980,3700,-16132,-540
2990,3608,-16328,-780
3000,3440,-16576,-280
3010,3356,-16000,-928
3020,3956,-15928,-600
3030,3948,-16352,-800
3040,3996,-16628,-672
3050,4200,-16632,-1052
3060,4036,-16416,-844
3070,3968,-16180,-996
3080,3828,-16380,-780
3090,3692,-16116,-624
3100,3388,-16008,-996
3110,3512,-16028,-952
3120,3508,-16212,-1140
3130,3528,-16276,-1212
3140,3840,-15908,-1248
3150,4084,-16172,-1104
3160,4248,-16480,-1364
3170,4212,-16284,-1068
3180,4168,-16188,-1128
3190,3996,-16120,-1236
3200,4148,-15984,-1308
3210,4116,-16040,-1452
3220,4256,-16344,-1300
3230,4184,-16204,-1140
3240,4088,-16192,-1496
3250,3908,-16264,-1600
3260,3792,-16156,-1816
3270,3860,-16228,-1704
3280,3948,-16352,-1516
3290,3732,-16276,-1412
3300,3600,-16020,-1472
3310,3604,-16152,-1556
3320,3808,-16408,-1592
3330,3900,-16212,-1796
3340,4092,-16064,-1828
3350,4156,-15820,-1520
3360,4008,-15880,-1780
3370,4024,-15904,-1720
3380,4004,-15744,-1684
3390,4136,-15976,-1840
3400,4256,-15748,-1724
3410,4100,-15796,-1892
3420,4092,-15820,-1620
3430,3880,-15852,-1856
3440,4028,-15796,-1940
3450,3984,-15768,-2012
3460,4208,-15776,-1868
3470,4256,-15868,-1956
3480,4144,-15852,-2076
3490,4116,-16208,-2172
3500,4080,-16172,-2072
3510,4088,-15824,-1836
3520,4052,-15948,-2088
3530,4008,-15936,-2260
3540,4268,-16192,-2216
3550,4180,-16268,-2368
3560,4248,-16456,-2416
3570,4332,-16116,-2516
3580,4364,-16092,-2744
3590,4492,-16208,-2448
3600,4436,-16204,-2656
3610,4156,-16212,-2588
3620,4116,-16084,-2472
3630,4200,-16220,-2652
3640,4144,-16140,-2376
3650,4228,-16084,-2708
3660,4108,-16244,-2628
3670,4232,-16208,-2648
3680,4520,-16264,-2836
3690,4480,-16384,-2660
3700,4372,-16128,-2616
3710,4428,-16096,-2564
3720,4440,-15904,-2392
3730,4448,-16180,-2472
3740,4512,-16344,-2576
3750,4596,-16308,-2620
3760,4708,-16652,-2820
3770,4460,-16884,-2524
3780,4480,-16912,-2568
3790,4508,-16520,-2580
3800,4540,-16764,-2188
3810,4524,-16424,-2392
3820,4816,-16484,-2428
3830,4764,-16540,-2488
3840,4660,-16288,-2256
3850,4728,-16488,-2000
3860,4668,-16360,-2344
3870,5000,-16716,-2164
3880,4924,-17008,-2240
3890,4696,-16804,-2128
3900,4808,-16512,-1984
3910,4684,-16816,-1916
3920,4588,-16532,-1364
3930,4740,-16852,-1704
3940,4556,-17012,-1560
3950,4764,-16704,-1320
3960,4700,-16360,-1232
3970,4484,-16300,-1408
3980,4712,-16512,-1216
3990,4484,-16624,-904
4000,4740,-16348,-1132
4010,4760,-16204,-816
4020,4816,-16216,-684
4030,4648,-16584,-724
4040,4548,-16068,-1128
4050,4732,-15912,-616
4060,4524,-16104,-200
4070,4112,-16256,360
4080,4068,-15704,64
4090,4000,-16032,492
4100,3752,-15676,260
4110,3816,-15628,328
4120,3944,-15472,308
4130,3376,-16576,884
4140,3792,-15372,552
4150,3800,-15428,940
4160,3396,-15112,644
4170,3356,-14488,636
4180,2964,-15288,1208
4190,3300,-14424,744
4200,3380,-14628,1360
4210,3180,-15192,820
4220,3416,-14608,1324
4230,3532,-15156,1068
4240,3400,-14856,912
4250,3356,-14888,888
4260,3024,-15404,1384
4270,2900,-15156,1332
4280,3020,-15108,1584
4290,3228,-15268,1444
4300,3296,-15204,1604
4310,3216,-15372,1128
4320,3344,-15716,1616
4330,3508,-15628,1540
4340,3456,-15496,1764
4350,3564,-15944,1756
4360,3580,-15900,1376
4370,3232,-15656,1848
4380,3384,-15844,1884
4390,3196,-15616,1320
4400,3396,-15864,1608
4410,3140,-16032,1668
4420,3188,-16024,1408
4430,3256,-15940,1296
4440,3124,-15988,1536
4450,3020,-16032,1608
4460,2916,-15908,1572
4470,2752,-15884,1672
4480,2748,-15680,1604
4490,2856,-15828,1540
4500,2908,-15664,1400
4510,3016,-15652,1400
4520,3088,-15684,1448
4530,3184,-15840,1420
4540,3252,-15728,1560
4550,3212,-15696,1372
4560,3276,-15820,1340
4570,3228,-15720,1388
4580,3236,-15856,1512
4590,3156,-15900,1816
4600,3132,-15964,1808
4610,3232,-16220,1612
4620,3088,-15864,1484
4630,3112,-15812,1480
4640,3444,-16116,1608
4650,3672,-16340,1496
4660,3664,-16116,1500
4670,3568,-16108,1352
4680,3540,-16012,1264
4690,3624,-15936,1328
4700,3384,-16028,1380
4710,3364,-15792,1324
4720,3228,-15668,1416
4730,3192,-15912,1272
4740,3460,-15952,1248
4750,3500,-15976,1028
4760,3512,-15984,1216
4770,3584,-15932,908
4780,3604,-15508,1204
4790,3756,-15808,1212
4800,3896,-15760,792
4810,3620,-16280,848
4820,3704,-16064,1004
4830,3536,-16004,876
4840,3276,-16048,1132
4850,3256,-15504,1120
4860,3292,-15872,936
4870,3436,-16180,868
4880,3656,-16364,604
4890,3704,-16116,668
4900,3948,-16036,604
4910,3988,-16156,744
4920,3936,-16132,640
4930,4252,-16100,396
4940,4216,-16236,600
4950,4236,-16108,288
4960,4212,-16000,292
4970,3988,-16096,488
4980,3928,-16196,592
4990,3928,-16200,384
5000,3684,-16100,328
5010,3700,-16180,196
5020,3792,-16348,140
5030,3716,-16268,252
5040,3880,-16172,292
5050,3888,-16024,204
5060,3832,-16076,-36
5070,3928,-16308,112
5080,3944,-16344,32
5090,4052,-16180,-28
5100,4128,-16256,-32
5110,4164,-16340,-120
5120,4096,-16036,-52
5130,4096,-15948,-108
5140,3888,-16008,-204
5150,3884,-15852,-276
5160,4092,-15948,-320
5170,4144,-15812,-204
5180,4056,-15764,-512
5190,4064,-15872,-292
5200,3920,-15776,-296
5210,3924,-15600,-508
5220,3892,-15652,-492
5230,4196,-15676,-400
5240,4272,-15900,-432
5250,4268,-15520,-456
5260,4200,-15932,-524
5270,3940,-15984,-784
5280,3832,-15696,-692
5290,3816,-15428,-548
5300,4024,-15644,-988
5310,4288,-15824,-1176
5320,4400,-15940,-1012
5330,4276,-16068,-1148
5340,4256,-16052,-976
5350,4056,-16460,-1152
5360,4284,-16320,-1240
5370,4456,-16204,-1520
5380,4408,-16284,-1312
5390,4136,-16180,-1376
5400,4108,-16268,-1440
5410,4220,-16368,-1404
5420,4252,-16500,-1436
5430,4416,-16240,-1556
5440,4520,-16180,-1624
5450,4536,-16076,-1628
5460,4400,-16048,-1656
5470,4372,-16108,-1704
5480,4348,-16140,-1540
5490,4304,-16236,-1672
5500,4288,-16248,-1716
5510,4176,-16140,-1940
5520,4156,-16080,-1932
5530,4148,-15916,-1824
5540,4200,-15928,-1776
5550,4356,-15996,-2016
5560,4304,-16372,-2124
5570,4392,-16088,-2176
5580,4304,-16076,-1916
5590,3936,-16184,-2140
5600,4008,-16308,-2140
5610,4100,-16444,-2008
5620,4112,-16320,-2032
5630,4140,-16104,-2192
5640,4164,-15900,-1856
5650,4300,-16108,-2104
5660,4116,-16052,-2212
5670,4300,-16072,-2272
5680,4296,-15940,-2092
5690,4156,-15724,-2048
5700,4224,-15928,-2112
5710,4160,-15944,-2204
5720,4388,-16104,-2384
5730,4404,-16052,-2400
5740,4372,-15948,-2364
5750,4572,-15896,-2144
5760,4492,-16004,-2168
5770,4400,-16016,-2204
5780,4256,-15764,-2064
5790,4188,-15788,-2192
5800,4412,-16000,-2192
5810,4288,-15956,-2240
5820,4372,-16248,-2288
5830,4372,-16176,-2392
5840,4276,-16380,-2256
5850,4148,-16300,-2472
5860,4280,-16280,-2428
5870,4096,-16192,-2424
5880,4136,-16084,-2292
5890,4252,-16240,-2400
5900,4424,-16564,-2456
5910,4592,-16476,-2388
5920,4556,-16476,-2468
5930,4608,-16584,-2376
5940,4660,-16572,-2552
5950,4736,-16652,-2420
5960,4676,-16420,-2140
5970,4580,-16436,-2176
5980,4680,-16544,-1828
5990,4612,-16292,-2316
6000,4536,-16332,-2184
6010,4596,-16488,-1864
6020,4436,-16620,-2136
6030,4480,-16512,-2024
6040,4352,-16652,-1756
6050,4240,-16556,-1572
6060,4324,-16416,-1520
6070,4220,-16576,-1696
6080,4304,-16504,-1556
6090,4372,-16528,-1548
6100,4256,-16476,-1232
6110,4168,-16388,-1152
6120,4072,-16348,-988
6130,4008,-16280,-1008
6140,4172,-15940,-924
6150,4040,-15928,-960
6160,4432,-15992,-672
6170,4164,-16168,-852
6180,4000,-16104,-436
6190,3920,-15960,-812
6200,3808,-15924,-592
6210,3732,-16040,-508
6220,3724,-15568,-928
6230,3680,-15988,-524
6240,3768,-15796,-36
6250,3620,-15576,-624
6260,3596,-16024,-96
6270,3664,-15972,-88
6280,3764,-15652,156
6290,3680,-16204,316
6300,3768,-15560,428
6310,4044,-15624,-72
6320,4060,-15920,336
6330,3920,-15280,224
6340,3852,-15580,516
6350,3888,-15752,676
6360,3892,-15664,744
6370,4024,-15776,424
6380,4012,-15808,676
6390,3856,-15748,892
6400,3732,-16092,792
6410,3552,-15812,864
